ITEM,TIME,PERCENTAGE
Toerretumbler,1990,24
Toerretumbler,1992,25
Toerretumbler,1993,30
Toerretumbler,1994,31
Toerretumbler,1995,33
Toerretumbler,1996,34
Toerretumbler,1997,36
Toerretumbler,1998,41
Toerretumbler,1999,40
Toerretumbler,2000,40
Toerretumbler,2001,42
Toerretumbler,2002,43
Toerretumbler,2003,50
Toerretumbler,2004,48
Toerretumbler,2005,47
Toerretumbler,2006,51
Toerretumbler,2007,47
Toerretumbler,2008,55
Toerretumbler,2009,53
Toerretumbler,2010,53
Toerretumbler,2011,54
Toerretumbler,2012,52
Toerretumbler,2013,52
Toerretumbler,2014,54
Toerretumbler,2015,52
Toerretumbler,2016,52
Toerretumbler,2017,54
Toerretumbler,2018,54
Toerretumbler,2019,55
Toerretumbler,2020,56
Toerretumbler,2021,58
Toerretumbler,2022,59
Vaskemaskine,1990,70
Vaskemaskine,1991,68
Vaskemaskine,1992,69
Vaskemaskine,1993,74
Vaskemaskine,1994,73
Vaskemaskine,1995,72
Vaskemaskine,1996,75
Vaskemaskine,1997,74
Vaskemaskine,1998,77
Vaskemaskine,1999,77
Vaskemaskine,2000,76
Vaskemaskine,2001,76
Vaskemaskine,2002,75
Vaskemaskine,2003,82
Vaskemaskine,2004,76
Vaskemaskine,2005,79
Vaskemaskine,2006,80
Vaskemaskine,2007,78
Vaskemaskine,2008,80
Vaskemaskine,2009,79
Vaskemaskine,2010,82
Vaskemaskine,2011,80
Vaskemaskine,2012,79
Vaskemaskine,2013,81
Vaskemaskine,2014,82
Vaskemaskine,2015,78
Vaskemaskine,2016,76
Vaskemaskine,2017,83
Vaskemaskine,2018,81
Vaskemaskine,2019,79
Vaskemaskine,2020,81
Vaskemaskine,2021,83
Vaskemaskine,2022,81
Opvaskemaskine,1990,29
Opvaskemaskine,1991,31
Opvaskemaskine,1992,33
Opvaskemaskine,1993,36
Opvaskemaskine,1994,35
Opvaskemaskine,1995,40
Opvaskemaskine,1996,39
Opvaskemaskine,1997,39
Opvaskemaskine,1998,46
Opvaskemaskine,1999,46
